category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6P5pS/,Negotiable,Yesterday 19:49,https://img03.olx.co.ke/images_olxke/1002559369_1_261x203_etrex-30-garmin-gps-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,etrex 30 Garmin GPS,"KSh  21,000",https://www.olx.co.ke/ad/etrex-30-garmin-gps-ID15PSLe.html#9e5d42e9d9,Nairobi CBD,On site since Feb 2017,Etrex 30 Garmin GPS,"Added at 19:49, 21 February 2017,",Ad,Kemboi,A new garmin etrex 30 gps with an accuracy off 3m
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6PaQ6/,,Yesterday 19:56,https://img01.olx.co.ke/images_olxke/1002553207_1_261x203_escan-antivirus-1-1free-and-free-mobile-security-kariobangi-south.jpg,"Kariobangi South, Embakasi West, Nairobi",Individual,escan antivirus 1+1free and free mobile security,"KSh  1,000",https://www.olx.co.ke/ad/escan-antivirus-1-1free-and-free-mobile-security-ID15PRos.html#9e5d42e9d9,Kariobangi South,On site since Feb 2017,Escan antivirus 1+1free and free mobile security,"Added at 19:56, 21 February 2017,",Ad,Patrick,"This is quality security for your machines,its cost friendly and very reliable"
Electronics & Video » Video Games & accessories,https://www.olx.co.ke/ads/user/6OVVE/,,Yesterday 19:56,https://img01.olx.co.ke/images_olxke/1002553150_1_261x203_xbox-360-wireless-controller-kibra.jpg,"Makina, Kibra, Nairobi",Individual,Xbox 360 wireless controller,"KSh  2,000",https://www.olx.co.ke/ad/xbox-360-wireless-controller-ID15PRnw.html#9e5d42e9d9,Makina,On site since Jan 2017,Xbox 360 wireless controller,,Ad,Jay,"Brand new,"
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/zkaS/,,Yesterday 19:39,https://img03.olx.co.ke/images_olxke/1002555299_1_261x203_google-chromecast-2-digital-hdmi-media-streaming-device-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Google Chromecast 2 Digital HDMI Media Streaming Device,"KSh  6,500",https://www.olx.co.ke/ad/google-chromecast-2-digital-hdmi-media-streaming-device-ID15PRQz.html#9e5d42e9d9,Nairobi CBD,On site since Jul 2016,Google Chromecast 2 Digital HDMI Media Streaming Device,"Added at 19:39, 21 February 2017,",Ad,Teflon Solutions Central,-Simply tap the Cast button to see your favorite content on the big screen.
Electronics & Video » Cameras & accessories,https://www.olx.co.ke/ads/user/6ND8p/,Negotiable,Yesterday 19:56,https://img01.olx.co.ke/images_olxke/1002553095_1_261x203_stylishly-unique-lens-mugs-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Stylishly unique Lens Mugs,"KSh  1,700",https://www.olx.co.ke/ad/stylishly-unique-lens-mugs-ID15PRmK.html#9e5d42e9d9,Nairobi CBD,On site since Jun 2016,Stylishly unique Lens Mugs,"Added at 19:56, 21 February 2017,",Ad,Leica,Get this unique and stylishly designed lens mug with a stylish stainless steel thermos Interior.
Electronics & Video » Computers & Laptops,,Negotiable,Yesterday 19:56,https://img02.olx.co.ke/images_olxke/1002553202_1_261x203_probook-6360-duocore-4-gb-ram-320-gb-rom-14-inches-nairobi-west.jpg,"Nairobi West, Langata, Nairobi",Individual,"Probook 6360 , duocore , 4 Gb Ram , 320 Gb Rom , 14 inches","KSh  16,000",https://www.olx.co.ke/ad/probook-6360-duocore-4-gb-ram-320-gb-rom-14-inches-ID15PRoe.html#9e5d42e9d9,Nairobi West,On site since Feb 2017,"Probook 6360 , duocore , 4 Gb Ram , 320 Gb Rom , 14 inches","Added at 19:56, 21 February 2017,",Ad,Jayden,contact :
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Pa4Z/,Negotiable,Yesterday 19:56,https://img03.olx.co.ke/images_olxke/1002544297_1_261x203_ricoh-aficio-photocopier-and-printer-donholm.jpg,"Donholm, Nairobi",Individual,Ricoh Aficio Photocopier and printer,"KSh  20,000",https://www.olx.co.ke/ad/ricoh-aficio-photocopier-and-printer-ID15PPwb.html#9e5d42e9d9,Donholm,On site since Feb 2017,Ricoh Aficio Photocopier and printer,"Added at 19:56, 21 February 2017,",Ad,Peter,Ricoh Aficio Printer and also does photocopy still works and under good maintenance
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Noca/,Negotiable,Yesterday 19:56,https://img02.olx.co.ke/images_olxke/1002544376_1_261x203_macbook-pro-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,macbook pro,"KSh  80,000",https://www.olx.co.ke/ad/macbook-pro-ID15PPwS.html#9e5d42e9d9,Nairobi CBD,On site since May 2016,Macbook pro,,Ad,sofi,"Ex uk, new"
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Mi9Q/,,Yesterday 19:51,https://img03.olx.co.ke/images_olxke/1001904873_1_261x203_lot-of-15-dms-59-or-dvi-to-2-vga-splitter-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Lot of 15 DMS 59 or DVI to 2 VGA splitter,"KSh  7,500",https://www.olx.co.ke/ad/lot-of-15-dms-59-or-dvi-to-2-vga-splitter-ID15NpDR.html#9e5d42e9d9,Nairobi CBD,On site since Nov 2015,Lot of 15 DMS 59 or DVI to 2 VGA splitter,,Ad,Jim,This are splitters that covert DMS 59 or DVI to Dual VGA
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6O3FL/,Negotiable,Yesterday 19:57,https://img01.olx.co.ke/images_olxke/1002336290_1_261x203_printer-repair-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Printer repair,"KSh  3,000",https://www.olx.co.ke/ad/printer-repair-ID15P5id.html#9e5d42e9d9,Nairobi CBD,On site since Aug 2016,Printer repair,"Added at 19:57, 21 February 2017,",Ad,Bazztech solution,printer repair and service at your door step in house and on site service
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6P9hq/,Negotiable,Yesterday 19:56,https://img03.olx.co.ke/images_olxke/1002533998_1_261x203_m-audio-studio-monitors-starehe.jpg,"City Centre, Starehe, Nairobi",Individual,M Audio Studio Monitors,"KSh  50,000",https://www.olx.co.ke/ad/m-audio-studio-monitors-ID15PNlV.html#9e5d42e9d9,City Centre,On site since Feb 2017,M Audio Studio Monitors,,Ad,Paul,Special Offer. Brand New M-Audio Studio Monitors which are of the best quality and guarantee you of maximum performance
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6P9hq/,Negotiable,Yesterday 19:56,https://img02.olx.co.ke/images_olxke/1002533934_1_261x203_17-tft-lcd-monitor-roof-mount-starehe.jpg,"City Centre, Starehe, Nairobi",Business,"17"" TFT LCD Monitor (Roof Mount)","KSh  22,000",https://www.olx.co.ke/ad/17-tft-lcd-monitor-roof-mount-ID15PNle.html#9e5d42e9d9,City Centre,On site since Feb 2017,"17"" TFT LCD Monitor (Roof Mount)",,Ad,Paul Kariuki,"Special Offer. This is a Brand New 17"" TFT LCD Monitor. It's of the best quality and guarantee you of maximum performance"
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6NsmD/,,Yesterday 19:58,https://img03.olx.co.ke/images_olxke/802594949_1_261x203_computer-power-now-available-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,computer power now available,KSh  700,https://www.olx.co.ke/ad/computer-power-now-available-IDSjBBP.html#9e5d42e9d9,Nairobi CBD,On site since May 2016,Computer power now available,"Added at 19:58, 21 February 2017,",Ad,dominic,all brands available
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6P96W/,Negotiable,Yesterday 19:56,https://img02.olx.co.ke/images_olxke/1002533810_1_261x203_12-inch-flat-tv-joska.jpg,"Joska, Nairobi",Individual,12 inch flat tv,"KSh  9,000",https://www.olx.co.ke/ad/12-inch-flat-tv-ID15PNka.html#9e5d42e9d9,Joska,On site since Feb 2017,12 inch flat tv,,Ad,Flincy,Lg flat screen
